UNIT,year1970,year1971,year1972,year1973,year1974,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1985,year1986,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,year2023,TotalAllTime
3A,14,25,6,32,22,16,0,0,67,6,38,16,9,40,51,21,24,17,33,36,19,46,84,34,69,16,81,28,112,22,96,35,80,84,32,84,86,78,125,97,59,131,40,141,103,84,86,113,42,127,80,101,58,70,3016
3C,3,7,1,3,2,2,0,0,4,2,12,0,5,0,7,5,6,8,8,9,9,10,10,13,12,9,23,16,17,11,18,22,24,55,32,57,27,59,51,65,37,28,53,29,102,62,62,75,98,53,90,51,43,35,1442
3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,1,2,5,4,20
3G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,9,15,12,11,14,13,22,14,25,10,18,170
3H,6,5,2,4,6,7,0,0,8,3,9,2,10,4,3,5,2,5,10,8,8,16,17,9,12,12,19,16,12,16,43,30,31,36,17,35,39,44,28,42,36,56,28,41,59,69,66,54,41,73,100,45,62,39,1350
3J,1,2,0,0,0,1,0,0,0,0,1,2,2,0,1,3,0,2,1,1,3,1,2,1,0,9,4,8,3,1,11,7,10,10,5,7,10,27,7,10,8,16,24,21,32,20,25,22,45,17,31,25,20,21,480
3K,8,18,10,14,9,12,0,0,8,6,14,9,8,10,16,13,13,10,19,21,17,23,21,16,33,19,31,27,57,16,45,39,49,92,77,102,66,73,64,68,62,68,79,84,122,126,115,81,64,110,113,92,57,61,2387
3M,1,0,2,4,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,3,5,4,6,11,9,7,11,22,17,26,20,26,31,41,20,44,37,44,44,55,45,88,68,62,95,76,78,48,52,81,99,61,90,66,1506
3N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,1,0,2,3,1,14
3P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,5,4,4,9,3,4,6,7,9,4,8,7,4,20,11,14,4,8,14,14,14,13,11,10,9,12,13,11,10,269
3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,4,4,0,0,8,5,2,5,3,40
3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1,8
4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,2,4,2,16
4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3,3,4,3,4,2,28
4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,5,2,5,0,3,2,4,4,4,45
4F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,8,6,6,7,8,7,9,9,13,1,14,10,11,4,9,132
4G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,13,8,9,15,10,12,14,20,21,19,18,23,12,13,25,19,270
4H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,3,5,6,5,6,5,11,9,4,16,10,13,12,12,10,142
4J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,4,10,6,6,1,8,6,4,65
4L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,12,9,3,15,8,10,11,3,4,15,109
4O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,23,28,38,36,27,35,26,44,27,53,55,46,19,49,37,35,30,34,690
4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,12,10,25,16,21,21,20,17,46,33,45,44,32,34,34,11,34,13,492
4R,4,4,2,12,3,2,0,0,10,0,4,9,1,7,16,4,4,3,8,7,10,8,16,4,9,5,21,10,17,4,15,15,18,17,20,34,15,23,38,27,22,26,24,45,58,48,52,42,27,54,55,35,45,34,993
4S,1,0,0,2,1,0,0,0,4,0,4,0,0,1,3,1,0,1,2,1,0,0,5,2,8,2,3,0,2,9,10,8,5,10,3,16,2,7,6,10,8,9,8,4,8,7,9,3,11,10,7,15,1,8,237
4T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,2,2,1,4,16
4U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,2,6,2,1,6,4,4,4,8,8,57
4W,2,1,0,1,2,3,0,0,5,0,6,1,1,2,5,3,6,2,8,11,4,7,14,7,7,2,16,13,26,4,24,20,22,44,30,50,22,35,55,39,42,71,24,55,52,79,57,69,29,76,62,62,41,47,1266
4Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,1,4,1,3,3,2,3,24
4Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,11,7,6,13,15,13,24,21,7,14,137
5A,1,1,1,3,4,5,7,6,4,10,18,12,13,12,19,12,21,13,24,21,14,9,14,10,22,15,19,10,9,12,26,14,26,30,29,16,16,26,22,12,10,5,14,9,11,6,5,8,8,11,15,15,11,10,696
5C,14,6,7,29,38,49,45,37,84,58,58,61,70,67,72,41,66,73,55,77,76,75,46,45,89,102,58,38,22,62,71,48,63,138,67,15,28,35,38,61,31,15,56,24,33,54,49,31,54,22,40,48,35,47,2723
5F,17,20,21,52,48,52,33,26,79,90,69,46,63,46,66,27,75,40,51,57,47,56,58,52,49,85,39,28,20,38,76,42,39,109,34,13,12,23,31,28,21,9,27,14,11,24,19,19,24,8,25,18,15,20,2111
5G,7,2,7,7,11,24,17,18,11,28,25,26,31,36,15,19,34,23,21,31,28,35,23,27,20,36,14,24,25,30,30,58,26,129,51,37,34,37,23,39,28,9,66,23,28,22,29,16,38,27,47,21,24,16,1513
5H,108,50,91,105,112,153,106,112,153,174,151,154,144,149,121,88,178,131,158,189,94,177,149,147,162,179,92,123,91,175,249,144,158,501,197,167,109,190,172,272,152,98,166,101,162,137,146,99,119,64,127,64,118,89,7817
5J,3,1,0,3,4,18,2,8,6,17,10,7,9,8,3,7,8,15,8,13,3,10,17,11,6,20,5,14,11,41,21,30,20,83,47,39,11,30,19,41,17,4,44,15,21,22,22,9,30,9,30,10,25,11,898
5R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1,8
5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,18,11,17,18,6,9,15,9,14,15,17,174
5T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,4
6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,6,14,4,18,18,16,11,22,132
6C,6,1,2,14,3,20,6,10,6,33,24,10,20,9,14,12,5,16,13,30,22,10,18,8,18,23,18,20,7,28,29,15,14,62,39,28,10,38,56,94,95,18,63,44,84,90,72,44,63,31,102,42,67,92,1718
6F,23,9,26,44,49,35,46,30,72,35,39,40,66,28,49,31,48,37,60,52,54,36,61,36,77,56,44,29,39,57,87,77,97,117,78,59,41,43,79,81,29,46,49,55,47,71,56,56,53,63,57,78,46,50,2823
6G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,2,1,3,3,1,2,21
6H,0,1,0,4,0,4,0,1,0,9,5,3,1,1,1,2,2,4,2,0,5,4,10,5,7,3,15,10,6,11,19,12,13,17,18,10,10,30,18,24,18,19,37,18,18,17,13,13,18,17,12,8,17,17,529
6J,40,22,42,83,48,77,45,77,51,87,74,69,76,39,33,40,58,60,74,70,66,53,54,60,78,62,63,51,48,66,120,79,91,158,95,59,38,74,119,114,85,48,78,70,81,88,77,41,63,31,68,44,60,76,3623
6K,3,0,0,0,0,1,1,3,2,3,3,2,1,2,0,2,6,5,2,1,1,1,3,3,0,3,1,1,0,4,1,6,4,27,19,10,3,14,5,7,9,4,9,7,8,17,5,11,8,7,11,8,12,13,279
6N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,15,16,8,18,15,28,16,21,160
6R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,8,4,12,5,14,13,11,19,111
6S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,1,0,3,13
7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,4,1,1,2,2,4,4,4,6,39
7P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,3,8,2,5,3,5,4,2,6,51
7R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,5,4,0,0,1,2,7,6,2,3,4,42
7S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,8,14,18,27,21,29,20,23,17,22,15,19,24,26,308
8F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,6
8H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,8
8J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,2,0,8
8M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1,2,2,5,1,2,9,1,3,1,38
8N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,7,3,3,2,5,6,4,3,2,0,44
8P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,13,11,12,12,5,13,20,16,17,11,12,8,20,190
8R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,2,1,2,1,1,2,6,4,2,6,6,40
8S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,5
8T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,3,2,3,2,3,2,6,7,8,10,12,6,14,17,17,25,9,34,27,30,29,38,25,19,23,33,29,17,9,24,500
8W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,2,0,5,1,5,7,2,6,6,4,8,6,13,1,5,5,10,9,6,11,4,123
8X,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,5,10,7,7,3,4,6,7,8,8,12,20,18,11,27,16,27,32,31,18,54,47,51,42,58,30,55,25,46,31,33,23,31,810
8Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,4,0,7,7,13,8,18,8,14,6,9,10,15,30,12,11,16,22,23,26,24,21,25,24,27,16,18,19,23,467
9A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
9F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
9G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,7
9H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,2,2,4,4,2,2,2,1,0,28
9J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,10,11,19,12,46,27,35,27,38,25,26,18,41,31,25,21,25,456
9K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,3,2,1,6,8,6,3,11,5,7,8,9,15,15,9,8,123
9M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,2,2,6,4,3,5,9,5,17,7,4,13,12,10,9,114
9N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,1,4,1,2,2,2,3,1,2,4,2,30
9P,0,0,0,0,0,0,0,0,2,0,2,0,1,2,1,0,1,3,2,4,1,0,0,3,1,4,6,2,5,7,3,3,9,7,5,14,18,7,9,21,13,30,16,29,24,22,26,29,14,23,25,20,16,19,449
9R,1,2,5,1,4,3,6,5,6,6,10,9,13,7,6,6,11,6,7,4,4,3,4,2,3,0,1,4,3,5,3,2,4,6,5,4,11,4,13,8,7,25,22,30,14,25,15,15,6,24,13,14,15,20,452
9S,0,0,0,1,4,0,2,1,6,3,2,3,4,4,2,3,6,2,4,3,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,0,1,0,7,9,9,89
9T,1,2,2,3,3,2,4,3,11,5,6,7,8,3,13,4,10,9,9,16,8,4,8,4,5,3,13,2,13,3,11,8,7,14,17,17,9,16,14,6,10,29,26,22,7,10,7,9,9,15,14,9,9,7,486
9W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,7,5,10,6,10,9,8,9,10,3,9,7,5,5,10,123
9X,2,0,0,1,1,3,1,4,2,2,4,1,7,1,2,3,1,2,11,11,5,3,5,4,4,4,15,6,9,10,9,12,19,17,15,25,11,9,23,16,17,29,22,23,18,14,13,20,9,21,18,15,11,6,516
9Y,0,0,0,0,0,2,0,0,1,0,1,2,0,0,2,2,2,1,2,0,1,1,0,2,3,2,6,1,1,0,5,7,7,7,4,4,6,2,11,1,7,13,7,10,12,8,12,7,7,5,9,4,6,4,197
