UNIT,2023 Fawn Female,Total Adult Male,Total Fawn Male,Total Adult Female,Total Fawn Female
1C,367,29814,9633,31446,10636
3A,10,35342,1964,7198,1616
3C,39,27095,3280,13787,2897
3F,13,30116,5451,22492,4837
3G,37,50688,9114,33997,7912
3H,321,61985,8030,32088,7042
3J,45,36507,5755,24100,5127
3K,51,35931,4327,15991,3606
3M,210,98938,20839,92069,18676
3N,10,21814,3522,13585,3038
3P,10,10447,1612,6079,1401
3R,7,5860,687,3061,605
3S,84,20290,5357,19646,5543
4A,69,29750,2733,13011,2415
4B,37,12147,2173,9188,1968
4C,67,22893,2998,12933,2611
4F,223,130990,18289,78827,16018
4G,72,34474,4656,19632,4101
4H,50,31588,4109,16663,3589
4J,50,6503,1706,6131,1755
4K,56,21657,2439,10959,2146
4L,14,15917,1181,4950,1032
4O,110,67459,7749,30656,6624
4P,38,34212,4352,17447,3827
4R,31,24196,2958,11854,2594
4S,54,19390,2078,8470,1808
4T,20,14436,2900,12577,2611
4U,10,14161,2054,7777,1753
4W,61,41409,5156,19652,4488
4Y,28,25023,5422,21136,4816
4Z,66,31417,5737,21504,4962
5A,45,19805,1110,6294,855
5C,15,20082,623,3840,499
5F,5,22299,578,3512,452
5G,51,37903,1562,9178,1219
5H,43,72452,2183,12364,1700
5J,17,31062,1543,8742,1204
5R,75,23119,3758,17947,3387
5S,169,46279,6246,27634,5508
5T,25,14615,1344,5977,1146
6A,214,91968,8293,36517,6526
6C,143,68081,5643,29633,4573
6F,30,44274,1332,7083,1041
6G,266,86319,12101,64534,10476
6H,5,7029,650,3451,558
6J,29,45607,1704,8864,1389
6K,140,85498,7298,38676,6052
6N,58,25994,836,4079,759
6P,71,12930,2419,9056,1916
6R,71,27999,3514,17465,3105
6S,97,48061,6800,27461,5690
7A,163,43941,6796,24867,5362
7F,196,51549,13316,45518,10470
7H,110,36946,10171,33870,8023
7J,377,83068,20736,72288,16466
7M,391,131192,24566,83378,19270
7P,104,48700,8129,25809,6291
7R,314,87912,23979,78198,18848
7S,266,78000,16769,54607,13101
8A,292,37644,10792,38515,8608
8C,41,3678,1163,3906,1125
8F,398,71009,20477,72243,16350
8G,517,80296,24562,85688,19641
8H,532,79747,24243,85303,19443
8J,294,65964,17904,60229,14182
8M,306,47828,12956,43333,10204
8N,313,66646,21063,69928,16641
8P,232,51130,12305,37595,9493
8R,338,51449,17708,59204,13983
8S,190,32114,7054,23692,5562
8T,511,63269,15693,49532,12291
8W,209,53643,11123,34779,8577
8X,518,73068,19897,65603,15715
8Y,178,49122,10943,34339,8442
9A,196,29245,6815,24672,5430
9F,133,28818,7312,25356,5780
9G,140,19096,5008,18321,4013
9H,531,132535,34332,116217,27081
9J,452,92755,24810,82150,19430
9K,266,53865,12461,42120,9830
9M,166,54993,14235,45607,11113
9N,119,27566,7250,24483,5720
9P,405,98753,22450,70222,17283
9R,69,23756,5485,16862,4194
9S,17,9674,2322,6546,1765
9T,109,28672,6050,18371,4653
9W,99,35792,8349,26133,6449
9X,122,32989,7203,21784,5472
9Y,131,23225,6680,21338,5221
